fuente,comuna,zona_incoin,periodo,uf_m2,nota
INCOIN,Vitacura,oriente,2024-T4,124.18,mezcla casas+deptos en zona oriente
INCOIN,Las Condes,oriente,2024-T4,117.55,
INCOIN,Providencia,oriente,2024-T4,111.05,
INCOIN,Lo Barnechea,oriente,2024-T4,107.19,
INCOIN,La Reina,oriente,2024-T4,97.43,sup 126m2 domina casas
INCOIN,Ñuñoa,oriente,2024-T4,95.51,
INCOIN,Macul,oriente,2024-T4,76.87,
INCOIN,Colina,oriente,2024-T4,66.64,sup 118m2 domina casas
INCOIN,Peñalolén,oriente,2024-T4,65.64,
INCOIN,Vitacura,oriente,2025-T1,125.61,
INCOIN,Las Condes,oriente,2025-T1,119.97,
INCOIN,Providencia,oriente,2025-T1,111.90,
INCOIN,Lo Barnechea,oriente,2025-T1,105.46,
INCOIN,La Reina,oriente,2025-T1,100.09,
INCOIN,Ñuñoa,oriente,2025-T1,95.17,
INCOIN,Macul,oriente,2025-T1,77.04,
INCOIN,Colina,oriente,2025-T1,67.89,
INCOIN,Peñalolén,oriente,2025-T1,65.39,
INCOIN,Vitacura,oriente,2025-T2,126.64,
INCOIN,Las Condes,oriente,2025-T2,121.20,
INCOIN,Providencia,oriente,2025-T2,112.52,
INCOIN,Lo Barnechea,oriente,2025-T2,107.35,
INCOIN,La Reina,oriente,2025-T2,100.59,
INCOIN,Ñuñoa,oriente,2025-T2,93.85,
INCOIN,Macul,oriente,2025-T2,76.99,
INCOIN,Colina,oriente,2025-T2,67.77,
INCOIN,Peñalolén,oriente,2025-T2,66.72,
INCOIN,Vitacura,oriente,2025-T3,126.76,
INCOIN,Las Condes,oriente,2025-T3,121.61,
INCOIN,Providencia,oriente,2025-T3,113.47,
INCOIN,Lo Barnechea,oriente,2025-T3,107.33,
INCOIN,La Reina,oriente,2025-T3,103.57,
INCOIN,Ñuñoa,oriente,2025-T3,91.95,
INCOIN,Macul,oriente,2025-T3,77.16,
INCOIN,Colina,oriente,2025-T3,65.36,
INCOIN,Peñalolén,oriente,2025-T3,76.17,salto por mix de proyectos
INCOIN,Vitacura,oriente,2025-T4,127.55,
INCOIN,Las Condes,oriente,2025-T4,119.08,
INCOIN,Providencia,oriente,2025-T4,111.89,
INCOIN,Lo Barnechea,oriente,2025-T4,107.18,
INCOIN,La Reina,oriente,2025-T4,102.85,
INCOIN,Ñuñoa,oriente,2025-T4,91.17,
INCOIN,Macul,oriente,2025-T4,76.71,
INCOIN,Colina,oriente,2025-T4,68.43,
INCOIN,Peñalolén,oriente,2025-T4,77.19,
INCOIN,Santiago,centro,2025-T1,84.63,zona centro 100% deptos
INCOIN,San Miguel,centro,2025-T1,75.35,
INCOIN,Independencia,centro,2025-T1,72.59,
INCOIN,Recoleta,centro,2025-T1,70.30,
INCOIN,Conchalí,centro,2025-T1,69.59,
INCOIN,Quinta Normal,centro,2025-T1,69.49,
INCOIN,San Joaquín,centro,2025-T1,68.10,
INCOIN,La Cisterna,centro,2025-T1,67.22,
INCOIN,Estación Central,centro,2025-T1,64.82,
INCOIN,La Granja,centro,2025-T1,54.27,
INCOIN,Pedro Aguirre Cerda,centro,2025-T1,45.33,
INCOIN,Santiago,centro,2025-T2,82.68,
INCOIN,San Miguel,centro,2025-T2,75.58,
INCOIN,Independencia,centro,2025-T2,71.74,
INCOIN,Recoleta,centro,2025-T2,71.04,
INCOIN,Conchalí,centro,2025-T2,69.45,
INCOIN,Quinta Normal,centro,2025-T2,70.67,
INCOIN,San Joaquín,centro,2025-T2,68.40,
INCOIN,La Cisterna,centro,2025-T2,66.79,
INCOIN,Estación Central,centro,2025-T2,64.62,
INCOIN,La Granja,centro,2025-T2,54.28,
INCOIN,Pedro Aguirre Cerda,centro,2025-T2,44.38,
INCOIN,Santiago,centro,2025-T3,82.39,
INCOIN,San Miguel,centro,2025-T3,75.25,
INCOIN,Independencia,centro,2025-T3,73.52,
INCOIN,Recoleta,centro,2025-T3,69.65,
INCOIN,Conchalí,centro,2025-T3,70.10,
INCOIN,Quinta Normal,centro,2025-T3,70.02,
INCOIN,San Joaquín,centro,2025-T3,68.20,
INCOIN,La Cisterna,centro,2025-T3,67.68,
INCOIN,Estación Central,centro,2025-T3,64.15,
INCOIN,La Granja,centro,2025-T3,54.16,
INCOIN,Pedro Aguirre Cerda,centro,2025-T3,45.66,
INCOIN,Santiago,centro,2025-T4,81.16,
INCOIN,San Miguel,centro,2025-T4,72.79,
INCOIN,Independencia,centro,2025-T4,72.69,
INCOIN,Recoleta,centro,2025-T4,70.23,
INCOIN,Conchalí,centro,2025-T4,70.17,
INCOIN,Quinta Normal,centro,2025-T4,70.27,
INCOIN,San Joaquín,centro,2025-T4,69.44,
INCOIN,La Cisterna,centro,2025-T4,68.30,
INCOIN,Estación Central,centro,2025-T4,63.71,
INCOIN,La Granja,centro,2025-T4,54.24,
INCOIN,Pedro Aguirre Cerda,centro,2025-T4,49.12,
INCOIN,La Florida,periferia,2025-T1,78.92,periferia mezcla casas+deptos según comuna
INCOIN,Pudahuel,periferia,2025-T1,74.99,
INCOIN,Huechuraba,periferia,2025-T1,72.72,
INCOIN,Cerrillos,periferia,2025-T1,68.66,
INCOIN,Maipú,periferia,2025-T1,59.00,
INCOIN,San Bernardo,periferia,2025-T1,56.05,
INCOIN,Puente Alto,periferia,2025-T1,54.69,
INCOIN,Padre Hurtado,periferia,2025-T1,54.58,
INCOIN,Renca,periferia,2025-T1,52.56,
INCOIN,Lampa,periferia,2025-T1,51.95,
INCOIN,Peñaflor,periferia,2025-T1,51.20,
INCOIN,Isla de Maipo,periferia,2025-T1,50.47,
INCOIN,Quilicura,periferia,2025-T1,50.10,
INCOIN,Buin,periferia,2025-T1,50.09,
INCOIN,La Pintana,periferia,2025-T1,42.91,
INCOIN,Melipilla,periferia,2025-T1,43.20,
INCOIN,La Florida,periferia,2025-T2,79.93,
INCOIN,Pudahuel,periferia,2025-T2,76.43,
INCOIN,Huechuraba,periferia,2025-T2,73.22,
INCOIN,Cerrillos,periferia,2025-T2,70.44,
INCOIN,Maipú,periferia,2025-T2,60.40,
INCOIN,San Bernardo,periferia,2025-T2,57.00,
INCOIN,Puente Alto,periferia,2025-T2,54.05,
INCOIN,Padre Hurtado,periferia,2025-T2,55.16,
INCOIN,Renca,periferia,2025-T2,52.67,
INCOIN,Lampa,periferia,2025-T2,54.50,
INCOIN,Peñaflor,periferia,2025-T2,51.00,
INCOIN,Isla de Maipo,periferia,2025-T2,49.89,
INCOIN,Quilicura,periferia,2025-T2,48.45,
INCOIN,Buin,periferia,2025-T2,49.87,
INCOIN,La Pintana,periferia,2025-T2,44.98,
INCOIN,Melipilla,periferia,2025-T2,44.48,
INCOIN,La Florida,periferia,2025-T3,79.68,
INCOIN,Pudahuel,periferia,2025-T3,76.53,
INCOIN,Huechuraba,periferia,2025-T3,72.36,
INCOIN,Cerrillos,periferia,2025-T3,71.16,
INCOIN,Maipú,periferia,2025-T3,57.31,
INCOIN,San Bernardo,periferia,2025-T3,52.08,
INCOIN,Puente Alto,periferia,2025-T3,53.68,
INCOIN,Padre Hurtado,periferia,2025-T3,54.83,
INCOIN,Renca,periferia,2025-T3,52.59,
INCOIN,Lampa,periferia,2025-T3,53.37,
INCOIN,Peñaflor,periferia,2025-T3,50.71,
INCOIN,Isla de Maipo,periferia,2025-T3,47.60,
INCOIN,Quilicura,periferia,2025-T3,48.69,
INCOIN,Buin,periferia,2025-T3,49.74,
INCOIN,La Pintana,periferia,2025-T3,45.42,
INCOIN,Melipilla,periferia,2025-T3,44.48,
INCOIN,La Florida,periferia,2025-T4,79.93,
INCOIN,Pudahuel,periferia,2025-T4,76.66,
INCOIN,Huechuraba,periferia,2025-T4,75.11,
INCOIN,Cerrillos,periferia,2025-T4,71.86,
INCOIN,Maipú,periferia,2025-T4,58.20,
INCOIN,San Bernardo,periferia,2025-T4,53.79,
INCOIN,Puente Alto,periferia,2025-T4,54.79,
INCOIN,Padre Hurtado,periferia,2025-T4,54.81,
INCOIN,Renca,periferia,2025-T4,52.48,
INCOIN,Lampa,periferia,2025-T4,52.63,
INCOIN,Peñaflor,periferia,2025-T4,49.62,
INCOIN,Isla de Maipo,periferia,2025-T4,46.34,
INCOIN,Quilicura,periferia,2025-T4,50.78,
INCOIN,Buin,periferia,2025-T4,49.16,
INCOIN,La Pintana,periferia,2025-T4,45.63,
INCOIN,Melipilla,periferia,2025-T4,43.74,
GFK,Vitacura,,2025-T1,121.9,solo deptos nuevos
GFK,Las Condes,,2025-T1,111.6,
GFK,Providencia,,2025-T1,106.0,
GFK,Lo Barnechea,,2025-T1,102.2,
GFK,Ñuñoa,,2025-T1,87.8,
GFK,La Reina,,2025-T1,86.9,
GFK,Santiago,,2025-T1,80.9,
GFK,Colina,,2025-T1,78.4,
GFK,Pudahuel,,2025-T1,76.9,
GFK,Conchalí,,2025-T1,74.6,
GFK,La Florida,,2025-T1,72.3,
GFK,Huechuraba,,2025-T1,71.6,
GFK,Macul,,2025-T1,71.5,
GFK,Recoleta,,2025-T1,71.4,
GFK,Quinta Normal,,2025-T1,70.3,
GFK,Peñalolén,,2025-T1,69.8,
GFK,San Miguel,,2025-T1,69.8,
GFK,San Joaquín,,2025-T1,68.9,
GFK,Cerrillos,,2025-T1,67.3,
GFK,Independencia,,2025-T1,65.2,
GFK,La Cisterna,,2025-T1,64.3,
GFK,Maipú,,2025-T1,62.3,
GFK,Estación Central,,2025-T1,60.4,
GFK,San Bernardo,,2025-T1,58.4,
GFK,Renca,,2025-T1,52.7,
GFK,Puente Alto,,2025-T1,52.4,
GFK,Quilicura,,2025-T1,51.8,
GFK,Buin,,2025-T1,50.6,
GFK,Padre Hurtado,,2025-T1,45.4,
GFK,Lampa,,2025-T1,40.3,
GFK,Vitacura,,2024-ANUAL,120.8,serie anual LUN/CNN
GFK,Las Condes,,2024-ANUAL,111.1,
GFK,Lo Barnechea,,2024-ANUAL,105.7,
GFK,Providencia,,2024-ANUAL,105.0,
GFK,Ñuñoa,,2024-ANUAL,88.7,
GFK,La Reina,,2024-ANUAL,86.3,
GFK,Santiago,,2024-ANUAL,84.0,
GFK,Conchalí,,2024-ANUAL,75.2,
GFK,Colina,,2024-ANUAL,73.9,
GFK,Macul,,2024-ANUAL,72.9,
GFK,Huechuraba,,2024-ANUAL,72.2,
GFK,Peñalolén,,2024-ANUAL,72.2,
GFK,La Florida,,2024-ANUAL,71.9,
GFK,San Joaquín,,2024-ANUAL,71.3,
GFK,San Miguel,,2024-ANUAL,71.0,
GFK,Recoleta,,2024-ANUAL,70.1,
GFK,Quinta Normal,,2024-ANUAL,70.0,
GFK,Maipú,,2024-ANUAL,69.2,
GFK,Cerrillos,,2024-ANUAL,66.5,
GFK,Independencia,,2024-ANUAL,65.2,
GFK,Pudahuel,,2024-ANUAL,64.9,
GFK,Estación Central,,2024-ANUAL,64.3,
GFK,La Cisterna,,2024-ANUAL,63.7,
GFK,San Bernardo,,2024-ANUAL,59.3,
GFK,Quilicura,,2024-ANUAL,57.9,
GFK,Puente Alto,,2024-ANUAL,57.2,
GFK,Renca,,2024-ANUAL,51.3,transcripción prensa dudosa
GFK,Buin,,2024-ANUAL,51.3,transcripción prensa dudosa
GFK,Padre Hurtado,,2024-ANUAL,51.3,transcripción prensa dudosa
COLLIERS,PROMEDIO GS,,2025-ANUAL,79.3,prensa DF asking price
CCHC,PROMEDIO GS,,2025-3T,71.0,agregado deptos
GFK,PROMEDIO GS,,2025-T1,83.3,
GFK,PROMEDIO GS,,2025-T2,83.7,
GFK,PROMEDIO GS,,2025-T4,84.0,
GFK,PROMEDIO GS,,2024-ANUAL,83.9,
INCOIN,Santiago,centro,2024-T4,82.71,baseline
INCOIN,San Miguel,centro,2024-T4,74.87,
INCOIN,Independencia,centro,2024-T4,73.37,
INCOIN,Recoleta,centro,2024-T4,71.80,
INCOIN,Conchalí,centro,2024-T4,68.97,
INCOIN,Quinta Normal,centro,2024-T4,69.43,
INCOIN,San Joaquín,centro,2024-T4,69.09,
INCOIN,La Cisterna,centro,2024-T4,67.30,
INCOIN,Estación Central,centro,2024-T4,65.23,
INCOIN,La Granja,centro,2024-T4,53.15,
INCOIN,Pedro Aguirre Cerda,centro,2024-T4,45.35,
INCOIN,La Florida,periferia,2024-T4,77.70,baseline
INCOIN,Pudahuel,periferia,2024-T4,74.87,
INCOIN,Huechuraba,periferia,2024-T4,74.45,
INCOIN,Cerrillos,periferia,2024-T4,63.41,
INCOIN,Maipú,periferia,2024-T4,57.81,
INCOIN,San Bernardo,periferia,2024-T4,55.06,
INCOIN,Puente Alto,periferia,2024-T4,59.11,
INCOIN,Padre Hurtado,periferia,2024-T4,54.02,
INCOIN,Renca,periferia,2024-T4,52.70,
INCOIN,Lampa,periferia,2024-T4,51.64,
INCOIN,Peñaflor,periferia,2024-T4,50.38,
INCOIN,Isla de Maipo,periferia,2024-T4,49.87,
INCOIN,Quilicura,periferia,2024-T4,50.34,
INCOIN,Buin,periferia,2024-T4,48.78,
INCOIN,La Pintana,periferia,2024-T4,45.15,
INCOIN,Melipilla,periferia,2024-T4,41.88,
COLLIERS,Vitacura,,2025-T1,129.8,asking price deptos
COLLIERS,Las Condes,,2025-T1,106.7,
COLLIERS,La Florida,,2025-T1,71.2,
COLLIERS,PROMEDIO GS,,2025-T1,79.9,
COLLIERS,Vitacura,,2025-T2,131.9,
COLLIERS,Las Condes,,2025-T2,108.7,
COLLIERS,La Florida,,2025-T2,72.8,
COLLIERS,PROMEDIO GS,,2025-T2,79.6,
COLLIERS,Vitacura,,2025-T3,132.7,
COLLIERS,Las Condes,,2025-T3,110.6,
COLLIERS,La Florida,,2025-T3,73.9,
COLLIERS,PROMEDIO GS,,2025-T3,79.3,
COLLIERS,Vitacura,,2025-T4,133.0,
COLLIERS,Las Condes,,2025-T4,110.7,
COLLIERS,La Florida,,2025-T4,75.0,
COLLIERS,PROMEDIO GS,,2025-T4,79.5,
COLLIERS,PROMEDIO GS,,2026-T1,79.4,unico dato comunal-agregado 1T2026
COLLIERS,PROMEDIO GS,,2024-T1,79.3,baseline
COLLIERS,PROMEDIO GS,,2024-T2,78.6,baseline
COLLIERS,PROMEDIO GS,,2024-T3,79.3,baseline
COLLIERS,PROMEDIO GS,,2024-T4,78.8,baseline
GFK,Vitacura,,2015-ANUAL,87.1,serie anual LUN/CNN
GFK,Vitacura,,2016-ANUAL,90.9,
GFK,Vitacura,,2017-ANUAL,92.2,
GFK,Vitacura,,2018-ANUAL,101.1,
GFK,Vitacura,,2019-ANUAL,106.8,
GFK,Vitacura,,2020-ANUAL,109.1,
GFK,Vitacura,,2021-ANUAL,115.7,
GFK,Vitacura,,2022-ANUAL,117.7,
GFK,Vitacura,,2023-ANUAL,119.5,
GFK,Las Condes,,2015-ANUAL,82.6,
GFK,Las Condes,,2016-ANUAL,86.7,
GFK,Las Condes,,2017-ANUAL,88.3,
GFK,Las Condes,,2018-ANUAL,92.7,
GFK,Las Condes,,2019-ANUAL,98.3,
GFK,Las Condes,,2020-ANUAL,102.8,
GFK,Las Condes,,2021-ANUAL,107.1,
GFK,Las Condes,,2022-ANUAL,109.3,
GFK,Las Condes,,2023-ANUAL,110.3,
GFK,Providencia,,2015-ANUAL,81.9,
GFK,Providencia,,2016-ANUAL,84.7,
GFK,Providencia,,2017-ANUAL,85.1,
GFK,Providencia,,2018-ANUAL,89.3,
GFK,Providencia,,2019-ANUAL,93.8,
GFK,Providencia,,2020-ANUAL,98.2,
GFK,Providencia,,2021-ANUAL,101.4,
GFK,Providencia,,2022-ANUAL,103.3,
GFK,Providencia,,2023-ANUAL,103.9,
GFK,Lo Barnechea,,2015-ANUAL,82.4,
GFK,Lo Barnechea,,2016-ANUAL,82.8,
GFK,Lo Barnechea,,2017-ANUAL,85.2,
GFK,Lo Barnechea,,2018-ANUAL,90.9,
GFK,Lo Barnechea,,2019-ANUAL,96.3,
GFK,Lo Barnechea,,2020-ANUAL,100.1,
GFK,Lo Barnechea,,2021-ANUAL,103.7,
GFK,Lo Barnechea,,2022-ANUAL,104.6,
GFK,Lo Barnechea,,2023-ANUAL,104.9,
GFK,Ñuñoa,,2015-ANUAL,65.0,
GFK,Ñuñoa,,2016-ANUAL,69.2,
GFK,Ñuñoa,,2017-ANUAL,72.4,
GFK,Ñuñoa,,2018-ANUAL,77.0,
GFK,Ñuñoa,,2019-ANUAL,81.6,
GFK,Ñuñoa,,2020-ANUAL,83.6,
GFK,Ñuñoa,,2021-ANUAL,86.4,
GFK,Ñuñoa,,2022-ANUAL,87.1,
GFK,Ñuñoa,,2023-ANUAL,87.8,
GFK,La Reina,,2015-ANUAL,65.7,
GFK,La Reina,,2016-ANUAL,69.8,
GFK,La Reina,,2017-ANUAL,74.2,
GFK,La Reina,,2018-ANUAL,79.2,
GFK,La Reina,,2019-ANUAL,79.0,
GFK,La Reina,,2020-ANUAL,81.3,
GFK,La Reina,,2021-ANUAL,83.4,
GFK,La Reina,,2022-ANUAL,84.0,
