Trimestre;Oriente;Centro-Norte;Sur-Poniente;Sur-Oriente;Region Metropolitana
2007q1;100;100;100;100;100
2007q2;92;101;100;99;98
2007q3;97;101;102;102;100
2007q4;98;101;99;99;99
2008q1;97;102;103;102;101
2008q2;96;101;101;99;99
2008q3;99;104;105;100;101
2008q4;96;103;102;98;100
2009q1;89;95;94;92;92
2009q2;89;93;93;90;90
2009q3;97;101;101;101;99
2009q4;100;104;102;102;101
2010q1;108;102;98;102;102
2010q2;105;108;107;104;106
2010q3;108;108;109;106;108
2010q4;108;114;114;110;111
2011q1;116;116;113;111;114
2011q2;111;112;111;111;111
2011q3;121;114;111;110;113
2011q4;127;113;114;110;115
2012q1;128;110;112;111;114
2012q2;126;113;112;111;115
2012q3;132;114;116;113;117
2012q4;134;117;119;116;120
2013q1;140;118;120;120;122
2013q2;148;121;123;120;125
2013q3;151;122;126;120;126
2013q4;154;124;127;123;128
2014q1;157;127;131;126;131
2014q2;161;129;131;127;132
2014q3;167;132;131;129;135
2014q4;172;138;141;134;141
2015q1;178;141;140;140;146
2015q2;174;141;144;139;145
2015q3;186;150;148;143;151
2015q4;190;156;155;147;156
2016q1;191;161;156;151;160
2016q2;183;158;152;152;156
2016q3;177;154;148;145;150
2016q4;182;156;154;149;155
2017q1;185;157;157;156;159
2017q2;191;156;159;156;159
2017q3;197;161;156;159;162
2017q4;194;168;163;161;166
2018q1;202;166;165;164;169
2018q2;213;172;171;169;175
2018q3;213;172;170;167;174
2018q4;212;177;182;174;181
2019q1;217;183;186;178;185
2019q2;220;182;184;177;184
2019q3;214;178;181;181;184
2019q4;222;185;181;183;187
2020q1;231;182;191;199;195
2020q2;240;205;199;194;204
2020q3;203;183;195;190;190
2020q4;218;186;188;182;187
2021q1;233;196;203;196;200
2021q2;241;216;229;217;219
2021q3;248;209;224;213;215
2021q4;254;205;214;210;211
2022q1;242;216;222;210;214
2022q2;228;211;201;201;202
2022q3;237;213;216;206;209
2022q4;231;202;211;208;205
2023q1;232;206;216;198;203
2023q2;218;204;208;201;200
2023q3;245;201;215;202;205
2023q4;243;212;216;211;211
