Trimestre;Oriente;Centro-Norte;Sur-Poniente;Sur-Oriente;Region Metropolitana
2007q1;100;100;100;100;100
2007q2;100;100;103;101;100
2007q3;100;99;98;103;100
2007q4;100;100;98;100;100
2008q1;99;99;100;101;99
2008q2;98;99;94;104;99
2008q3;100;100;95;99;100
2008q4;98;99;95;98;97
2009q1;95;94;88;95;94
2009q2;96;93;87;91;93
2009q3;101;99;98;102;100
2009q4;105;99;98;101;102
2010q1;107;102;92;96;103
2010q2;107;104;97;102;105
2010q3;109;103;98;103;106
2010q4;110;105;106;113;108
2011q1;113;107;102;108;110
2011q2;114;106;96;108;109
2011q3;116;106;98;107;111
2011q4;120;105;97;108;113
2012q1;123;109;98;105;115
2012q2;123;109;98;106;115
2012q3;131;112;100;107;121
2012q4;136;116;108;110;125
2013q1;139;120;108;116;129
2013q2;147;122;105;117;133
2013q3;153;126;108;119;137
2013q4;155;130;112;120;140
2014q1;159;133;112;125;143
2014q2;163;131;114;119;144
2014q3;169;139;115;123;150
2014q4;174;143;118;130;155
2015q1;178;149;125;131;159
2015q2;184;155;123;139;164
2015q3;193;160;130;143;171
2015q4;192;161;130;146;172
2016q1;192;166;142;149;175
2016q2;191;167;136;147;174
2016q3;186;165;140;145;172
2016q4;190;168;139;149;175
2017q1;189;165;144;148;173
2017q2;191;168;140;155;176
2017q3;200;172;143;154;181
2017q4;199;173;144;159;183
2018q1;200;178;149;160;185
2018q2;205;180;153;163;189
2018q3;210;182;160;164;192
2018q4;210;186;159;171;195
2019q1;211;191;162;172;197
2019q2;213;191;165;177;199
2019q3;212;194;166;176;201
2019q4;218;196;164;184;203
2020q1;217;197;180;182;206
2020q2;225;204;177;203;214
2020q3;215;198;181;187;206
2020q4;219;195;177;180;205
2021q1;226;203;173;184;212
2021q2;235;211;189;197;221
2021q3;234;210;191;195;220
2021q4;234;204;185;194;216
2022q1;227;204;186;191;214
2022q2;224;198;171;191;208
2022q3;228;194;173;187;207
2022q4;218;193;183;191;205
2023q1;212;190;179;191;202
2023q2;211;188;178;192;201
2023q3;214;185;185;197;203
2023q4;220;189;189;193;206
